0,Sound,Flash,,,,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,310,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0.1,SansText,Ready?,,,,,,,
0,SET,FirstLoop,4,,,,,,
0,JMPZ,69,$FirstLoop,,,,,,
0,SUB,FirstLoop,$FirstLoop,1,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0,RND,Attack,4,,,,,,
0,ADD,Attack,$Attack,1,,,,,
0,JMPREL,$Attack,,,,,,,
0,JMPABS,18,,,,,,,
0,JMPABS,33,,,,,,,
0,JMPABS,58,,,,,,,
0,JMPABS,18,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,360,240,,,,,,
0.07,BlackScreen,0,,,,,,,
0,PlatFormRepeat,220,250,50,2,100,20,75,
0,PlatFormRepeat,560,280,50,0,100,20,75,
0,PlatFormRepeat,180,310,50,2,100,20,75,
0,PlatFormRepeat,503,340,50,0,100,20,75,
0,PlatFormRepeat,176,370,50,2,100,20,75,
0.2,GasterBlaster,0,1000,230,450,230,180,1.2,10
1,GasterBlaster,0,1000,260,450,260,180,0.9,10
1,GasterBlaster,0,1000,290,450,290,180,0.7,10
1,GasterBlaster,0,1000,320,450,330,180,0.6,10
1,GasterBlaster,0,1000,350,450,360,180,0.5,10
2,JMPABS,7,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,310,,,,,,
0.07,BlackScreen,0,,,,,,,
0.3,RND,Loop,3,,,,,,
0,ADD,Loop,$Loop,4,,,,,
0,JMPZ,7,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Direction,3,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,MUL,Jump,$Jump,2,,,,,
0,JMPREL,$Jump,,,,,,,
,,,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0.1,SansSlam,$Direction,,,,,,,
0,BoneStab,$Direction,30,0.6,0.2,,,,
0.6,SansTorso,Default,,,,,,,
0.2,JMPABS,39,,,,,,,
0,CombatZoneResizeInstant,200,290,443,320,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,300,,,,,,
0.07,BlackScreen,0,,,,,,,
0.3,RND,Loop,3,,,,,,
0,ADD,Loop,$Loop,10,,,,,
0,JMPZ,7,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,GetHeartPos,X,Y,,,,,,
0,GasterBlaster,0,$X,1000,$X,400,270,0.3,0.1
0.6,JMPABS,64,,,,,,,
0.07,BlackScreen,0,,,,,,,
1,SansText,The End,,,,,,,
1,EndAttack,,,,,,,,
